year,team
1979,MIN
1979,NOR
1979,NWE
1979,NYG
1979,NYJ
1979,OAK
1979,PHI
1979,PIT
1979,RAM
1979,SDG
1979,SEA
1979,SFO
1979,STL
1979,TAM
1979,WAS
1980,ATL
1980,BAL
1980,BUF
1980,CHI
1980,CIN
1980,CLE
1980,DAL
1980,DEN
1980,DET
1980,GNB
1980,HOU
1980,KAN
1980,MIA
1980,MIN
1980,NOR
1980,NWE
1980,NYG
1980,NYJ
1980,OAK
1980,PHI
1980,PIT
1980,RAM
1980,SDG
1980,SEA
1980,SFO
1980,STL
1980,TAM
1980,WAS
1981,ATL
1981,BAL
1981,BUF
1981,CHI
1981,CIN
1981,CLE
1981,DAL
1981,DEN
1981,DET
1981,GNB
1981,HOU
1981,KAN
1981,MIA
1981,MIN
1981,NOR
1981,NWE
1981,NYG
1981,NYJ
1981,OAK
1981,PHI
1981,PIT
1981,RAM
1981,SDG
1981,SEA
1981,SFO
1981,STL
1981,TAM
1981,WAS
1982,ATL
1982,BAL
1982,BUF
1982,CHI
1982,CIN
1982,CLE
1982,DAL
1982,DEN
1982,DET
1982,GNB
1982,HOU
1982,KAN
1982,MIA
1982,MIN
1982,NOR
1982,NWE
1982,NYG
1982,NYJ
1982,PHI
1982,PIT
1982,RAI
1982,RAM
1982,SDG
1982,SEA
1982,SFO
1982,STL
1982,TAM
1982,WAS
1983,ATL
1983,BAL
1983,BUF
1983,CHI
1983,CIN
1983,CLE
1983,DAL
1983,DEN
1983,DET
1983,GNB
1983,HOU
1983,KAN
1983,MIA
1983,MIN
1983,NOR
1983,NWE
1983,NYG
1983,NYJ
1983,PHI
1983,PIT
1983,RAI
1983,RAM
1983,SDG
1983,SEA
1983,SFO
1983,STL
1983,TAM
1983,WAS
1984,ATL
1984,BUF
1984,CHI
1984,CIN
1984,CLE
1984,DAL
1984,DEN
1984,DET
1984,GNB
1984,HOU
1984,IND
1984,KAN
1984,MIA
1984,MIN
1984,NOR
1984,NWE
1984,NYG
1984,NYJ
1984,PHI
1984,PIT
1984,RAI
1984,RAM
1984,SDG
1984,SEA
1984,SFO
1984,STL
1984,TAM
1984,WAS
1985,ATL
1985,BUF
1985,CHI
1985,CIN
1985,CLE
1985,DAL
1985,DEN
1985,DET
1985,GNB
1985,HOU
1985,IND
1985,KAN
1985,MIA
1985,MIN
1985,NOR
1985,NWE
1985,NYG
1985,NYJ
1985,PHI
1985,PIT
1985,RAI
1985,RAM
1985,SDG
1985,SEA
1985,SFO
1985,STL
1985,TAM
1985,WAS
1986,ATL
1986,BUF
1986,CHI
1986,CIN
1986,CLE
1986,DAL
1986,DEN
1986,DET
1986,GNB
1986,HOU
1986,IND
1986,KAN
1986,MIA
1986,MIN
1986,NOR
1986,NWE
1986,NYG
1986,NYJ
1986,PHI
1986,PIT
1986,RAI
1986,RAM
1986,SDG
1986,SEA
1986,SFO
1986,STL
1986,TAM
1986,WAS
1987,ATL
1987,BUF
1987,CHI
1987,CIN
1987,CLE
1987,DAL
1987,DEN
1987,DET
1987,GNB
1987,HOU
1987,IND
1987,KAN
1987,MIA
1987,MIN
1987,NOR
1987,NWE
1987,NYG
